DBCODE,ENTITY,SITE,REP,LAYER,DATE,VWC
SP036,1,CR3,2,"0-30 cm",2016-08-16,0.189
SP036,1,CR3,2,"0-30 cm",2016-08-30,0.174
SP036,1,CR3,2,"0-30 cm",2016-09-24,0.250
SP036,1,CR3,2,"0-30 cm",2016-10-06,0.309
SP036,1,CR3,2,"0-30 cm",2016-10-12,0.294
SP036,1,CR3,2,"0-30 cm",2016-10-22,0.318
SP036,1,CR3,2,"0-30 cm",2017-04-28,0.337
SP036,1,CR3,2,"0-30 cm",2017-05-20,0.324
SP036,1,CR3,2,"0-30 cm",2017-06-17,0.286
SP036,1,CR3,2,"0-30 cm",2017-07-11,0.215
SP036,1,CR3,2,"0-30 cm",2017-08-03,0.200
SP036,1,CR3,2,"0-30 cm",2017-09-01,0.193
SP036,1,CR3,2,"0-30 cm",2017-09-23,0.313
SP036,1,CR3,2,"0-30 cm",2017-10-15,0.323
SP036,1,DH0,1,"0-30 cm",2016-08-16,0.138
SP036,1,DH0,1,"0-30 cm",2016-08-30,0.173
SP036,1,DH0,1,"0-30 cm",2016-09-24,0.166
SP036,1,DH0,1,"0-30 cm",2016-10-06,0.214
SP036,1,DH0,1,"0-30 cm",2016-10-12,0.209
SP036,1,DH0,1,"0-30 cm",2016-10-22,0.221
SP036,1,DH0,1,"0-30 cm",2017-04-28,0.232
SP036,1,DH0,1,"0-30 cm",2017-05-20,0.216
SP036,1,DH0,1,"0-30 cm",2017-06-17,0.201
SP036,1,DH0,1,"0-30 cm",2017-07-11,0.157
SP036,1,DH0,1,"0-30 cm",2017-08-03,0.141
SP036,1,DH0,1,"0-30 cm",2017-09-01,0.140
SP036,1,DH0,1,"0-30 cm",2017-09-23,0.204
SP036,1,DH0,1,"0-30 cm",2017-10-15,0.215
SP036,1,DH0,1,"30-60 cm",2016-08-30,0.147
SP036,1,DH0,1,"30-60 cm",2016-09-24,0.235
SP036,1,DH0,1,"30-60 cm",2016-10-06,0.317
SP036,1,DH0,1,"30-60 cm",2016-10-12,0.314
SP036,1,DH0,1,"30-60 cm",2016-10-22,0.344
SP036,1,DH0,1,"30-60 cm",2017-04-28,0.360
SP036,1,DH0,1,"30-60 cm",2017-05-20,0.336
SP036,1,DH0,1,"30-60 cm",2017-06-17,0.290
SP036,1,DH0,1,"30-60 cm",2017-07-11,0.250
SP036,1,DH0,1,"30-60 cm",2017-08-03,0.235
SP036,1,DH0,1,"30-60 cm",2017-09-01,0.221
SP036,1,DH0,1,"30-60 cm",2017-09-23,0.323
SP036,1,DH0,1,"30-60 cm",2017-10-15,0.347
SP036,1,DH0,2,"0-30 cm",2016-08-16,0.191
SP036,1,DH0,2,"0-30 cm",2016-08-30,0.115
SP036,1,DH0,2,"0-30 cm",2016-09-24,0.226
SP036,1,DH0,2,"0-30 cm",2016-10-06,0.305
SP036,1,DH0,2,"0-30 cm",2016-10-12,0.292
SP036,1,DH0,2,"0-30 cm",2016-10-22,0.314
SP036,1,DH0,2,"0-30 cm",2017-04-28,0.334
SP036,1,DH0,2,"0-30 cm",2017-05-20,0.299
SP036,1,DH0,2,"0-30 cm",2017-06-17,0.278
SP036,1,DH0,2,"0-30 cm",2017-07-11,0.207
SP036,1,DH0,2,"0-30 cm",2017-08-03,0.199
SP036,1,DH0,2,"0-30 cm",2017-09-01,0.191
SP036,1,DH0,2,"0-30 cm",2017-09-23,0.281
SP036,1,DH0,2,"0-30 cm",2017-10-15,0.306
SP036,1,DH0,2,"30-60 cm",2016-08-16,0.190
SP036,1,DH0,2,"30-60 cm",2016-08-30,0.243
SP036,1,DH0,2,"30-60 cm",2016-09-24,0.259
SP036,1,DH0,2,"30-60 cm",2016-10-06,0.308
SP036,1,DH0,2,"30-60 cm",2016-10-12,0.285
SP036,1,DH0,2,"30-60 cm",2016-10-22,0.295
SP036,1,DH0,2,"30-60 cm",2017-04-28,0.280
SP036,1,DH0,2,"30-60 cm",2017-05-20,0.286
SP036,1,DH0,2,"30-60 cm",2017-06-17,0.249
SP036,1,DH0,2,"30-60 cm",2017-07-11,0.223
SP036,1,DH0,2,"30-60 cm",2017-08-03,0.205
SP036,1,DH0,2,"30-60 cm",2017-09-01,0.200
SP036,1,DH0,2,"30-60 cm",2017-09-23,0.270
SP036,1,DH0,2,"30-60 cm",2017-10-15,0.280
SP036,1,DH1,1,"0-30 cm",2016-08-16,0.205
SP036,1,DH1,1,"0-30 cm",2016-08-30,0.186
SP036,1,DH1,1,"0-30 cm",2016-09-24,0.241
SP036,1,DH1,1,"0-30 cm",2016-10-06,0.308
SP036,1,DH1,1,"0-30 cm",2016-10-12,0.293
SP036,1,DH1,1,"0-30 cm",2016-10-22,0.310
SP036,1,DH1,1,"0-30 cm",2017-04-28,0.343
SP036,1,DH1,1,"0-30 cm",2017-05-20,0.327
SP036,1,DH1,1,"0-30 cm",2017-06-17,0.324
SP036,1,DH1,1,"0-30 cm",2017-07-11,0.248
SP036,1,DH1,1,"0-30 cm",2017-08-03,0.224
SP036,1,DH1,1,"0-30 cm",2017-09-01,0.208
SP036,1,DH1,1,"0-30 cm",2017-09-23,0.280
SP036,1,DH1,1,"0-30 cm",2017-10-15,0.315
SP036,1,DH1,1,"30-60 cm",2016-08-16,0.206
SP036,1,DH1,1,"30-60 cm",2016-08-30,0.212
SP036,1,DH1,1,"30-60 cm",2016-09-24,0.255
SP036,1,DH1,1,"30-60 cm",2016-10-06,0.252
SP036,1,DH1,1,"30-60 cm",2016-10-12,0.259
SP036,1,DH1,1,"30-60 cm",2016-10-22,0.266
SP036,1,DH1,1,"30-60 cm",2017-04-28,0.263
SP036,1,DH1,1,"30-60 cm",2017-05-20,0.280
SP036,1,DH1,1,"30-60 cm",2017-06-17,0.256
SP036,1,DH1,1,"30-60 cm",2017-07-11,0.225
SP036,1,DH1,1,"30-60 cm",2017-08-03,0.192
SP036,1,DH1,1,"30-60 cm",2017-09-01,0.198
SP036,1,DH1,1,"30-60 cm",2017-09-23,0.257
SP036,1,DH1,1,"30-60 cm",2017-10-15,0.245
SP036,1,DH1,2,"0-30 cm",2016-08-16,0.192
SP036,1,DH1,2,"0-30 cm",2016-08-30,0.181
SP036,1,DH1,2,"0-30 cm",2016-09-24,0.202
SP036,1,DH1,2,"0-30 cm",2016-10-06,0.232
SP036,1,DH1,2,"0-30 cm",2016-10-12,0.237
SP036,1,DH1,2,"0-30 cm",2016-10-22,0.268
SP036,1,DH1,2,"0-30 cm",2017-04-28,0.316
SP036,1,DH1,2,"0-30 cm",2017-05-20,0.296
SP036,1,DH1,2,"0-30 cm",2017-06-17,0.284
SP036,1,DH1,2,"0-30 cm",2017-07-11,0.211
SP036,1,DH1,2,"0-30 cm",2017-08-03,0.191
SP036,1,DH1,2,"0-30 cm",2017-09-01,0.186
SP036,1,DH1,2,"0-30 cm",2017-09-23,0.210
SP036,1,DH1,2,"0-30 cm",2017-10-15,0.227
SP036,1,DH1,2,"30-60 cm",2016-08-16,0.157
SP036,1,DH1,2,"30-60 cm",2016-08-30,0.147
SP036,1,DH1,2,"30-60 cm",2016-09-24,0.197
SP036,1,DH1,2,"30-60 cm",2016-10-06,0.252
SP036,1,DH1,2,"30-60 cm",2016-10-12,0.227
SP036,1,DH1,2,"30-60 cm",2016-10-22,0.228
SP036,1,DH1,2,"30-60 cm",2017-04-28,0.227
SP036,1,DH1,2,"30-60 cm",2017-05-20,0.207
SP036,1,DH1,2,"30-60 cm",2017-06-17,0.215
SP036,1,DH1,2,"30-60 cm",2017-07-11,0.178
SP036,1,DH1,2,"30-60 cm",2017-08-03,0.167
SP036,1,DH1,2,"30-60 cm",2017-09-01,0.161
SP036,1,DH1,2,"30-60 cm",2017-10-15,0.264
SP036,1,DH2,1,"0-30 cm",2016-08-16,0.182
SP036,1,DH2,1,"0-30 cm",2016-08-30,0.169
SP036,1,DH2,1,"0-30 cm",2016-09-24,0.206
SP036,1,DH2,1,"0-30 cm",2016-10-06,0.243
SP036,1,DH2,1,"0-30 cm",2016-10-12,0.234
SP036,1,DH2,1,"0-30 cm",2016-10-22,0.259
SP036,1,DH2,1,"0-30 cm",2017-04-28,0.289
SP036,1,DH2,1,"0-30 cm",2017-05-20,0.271
SP036,1,DH2,1,"0-30 cm",2017-06-17,0.233
SP036,1,DH2,1,"0-30 cm",2017-07-11,0.195
SP036,1,DH2,1,"0-30 cm",2017-08-03,0.186
SP036,1,DH2,1,"0-30 cm",2017-09-01,0.178
SP036,1,DH2,1,"0-30 cm",2017-09-23,0.235
SP036,1,DH2,1,"0-30 cm",2017-10-15,0.250
SP036,1,DH2,1,"30-60 cm",2016-08-16,0.175
SP036,1,DH2,1,"30-60 cm",2016-08-30,0.150
SP036,1,DH2,1,"30-60 cm",2016-09-24,0.192
SP036,1,DH2,1,"30-60 cm",2016-10-06,0.277
SP036,1,DH2,1,"30-60 cm",2016-10-12,0.274
SP036,1,DH2,1,"30-60 cm",2016-10-22,0.265
SP036,1,DH2,1,"30-60 cm",2017-04-28,0.276
SP036,1,DH2,1,"30-60 cm",2017-05-20,0.260
SP036,1,DH2,1,"30-60 cm",2017-06-17,0.267
SP036,1,DH2,1,"30-60 cm",2017-07-11,0.204
SP036,1,DH2,1,"30-60 cm",2017-08-03,0.184
SP036,1,DH2,1,"30-60 cm",2017-09-01,0.178
SP036,1,DH2,1,"30-60 cm",2017-09-23,0.279
SP036,1,DH2,1,"30-60 cm",2017-10-15,0.280
SP036,1,DH2,2,"0-30 cm",2016-08-16,0.170
SP036,1,DH2,2,"0-30 cm",2016-08-30,0.152
SP036,1,DH2,2,"0-30 cm",2016-09-24,0.188
SP036,1,DH2,2,"0-30 cm",2016-10-06,0.261
SP036,1,DH2,2,"0-30 cm",2016-10-12,0.257
SP036,1,DH2,2,"0-30 cm",2017-04-28,0.308
SP036,1,DH2,2,"0-30 cm",2017-05-20,0.280
SP036,1,DH2,2,"0-30 cm",2017-06-17,0.277
SP036,1,DH2,2,"0-30 cm",2017-07-11,0.198
SP036,1,DH2,2,"0-30 cm",2017-08-03,0.177
SP036,1,DH2,2,"0-30 cm",2017-09-01,0.169
SP036,1,DH2,2,"0-30 cm",2017-09-23,0.256
SP036,1,DH2,2,"0-30 cm",2017-10-15,0.276
SP036,1,DH2,2,"30-60 cm",2016-08-16,0.199
SP036,1,DH2,2,"30-60 cm",2016-08-30,0.176
SP036,1,DH2,2,"30-60 cm",2016-09-24,0.205
SP036,1,DH2,2,"30-60 cm",2016-10-06,0.290
SP036,1,DH2,2,"30-60 cm",2016-10-12,0.284
SP036,1,DH2,2,"30-60 cm",2017-04-28,0.299
SP036,1,DH2,2,"30-60 cm",2017-05-20,0.287
SP036,1,DH2,2,"30-60 cm",2017-06-17,0.252
SP036,1,DH2,2,"30-60 cm",2017-07-11,0.240
SP036,1,DH2,2,"30-60 cm",2017-08-03,0.216
SP036,1,DH2,2,"30-60 cm",2017-09-01,0.204
SP036,1,DH2,2,"30-60 cm",2017-09-23,0.291
SP036,1,DH2,2,"30-60 cm",2017-10-15,0.283
SP036,1,ER1,1,"0-30 cm",2016-08-16,0.173
SP036,1,ER1,1,"0-30 cm",2016-08-30,0.153
SP036,1,ER1,1,"0-30 cm",2016-09-24,0.210
SP036,1,ER1,1,"0-30 cm",2016-10-06,0.293
SP036,1,ER1,1,"0-30 cm",2016-10-12,0.282
SP036,1,ER1,1,"0-30 cm",2016-10-22,0.293
SP036,1,ER1,1,"0-30 cm",2017-04-28,0.320
SP036,1,ER1,1,"0-30 cm",2017-05-20,0.297
SP036,1,ER1,1,"0-30 cm",2017-06-17,0.295
SP036,1,ER1,1,"0-30 cm",2017-07-11,0.191
SP036,1,ER1,1,"0-30 cm",2017-08-03,0.176
SP036,1,ER1,1,"0-30 cm",2017-09-01,0.168
SP036,1,ER1,1,"0-30 cm",2017-09-23,0.287
SP036,1,ER1,1,"0-30 cm",2017-10-15,0.293
SP036,1,ER1,2,"0-30 cm",2016-08-16,0.176
SP036,1,ER1,2,"0-30 cm",2016-08-30,0.170
SP036,1,ER1,2,"0-30 cm",2016-09-24,0.231
SP036,1,ER1,2,"0-30 cm",2016-10-06,0.265
SP036,1,ER1,2,"0-30 cm",2016-10-12,0.256
